expression,reading,meaning,tags
配る,くばる,"to distribute, to deliver",JLPT N2
工夫,くふう,"device, artifice, ingenuity",JLPT N2
区分,くぶん,"division, section, classification",JLPT N2
組合せ,くみあわせ,combination,JLPT N2
組み立てる,くみたてる,"to assemble, to set up, to construct",JLPT N2
悔やむ,くやむ,"to regret, to mourn",JLPT N2
クリーニング,クリーニング,"cleaning, dry cleaning, laundry service",JLPT N2
くるむ,くるむ,"to be enveloped by, to wrap up",JLPT N2
くれぐれも,くれぐれも,"repeatedly, sincerely, earnestly",JLPT N2
～家,～け,"~'s family, the house of ~",JLPT N2
～形,～けい,shape of ~,JLPT N2
～系,～けい,"~ system, ~ lineage, ~ group",JLPT N2
稽古,けいこ,"practice, training, study",JLPT N2
敬語,けいご,"honorific language (lit., respect language)",JLPT N2
蛍光灯,けいこうとう,fluorescent lamp,JLPT N2
形式,けいしき,"form, formality, format",JLPT N2
継続,けいぞく,continuation,JLPT N2
毛糸,けいと,knitting wool,JLPT N2
経度,けいど,longitude,JLPT N2
系統,けいとう,"system, genealogy",JLPT N2
芸能,げいのう,"public entertainment, performing arts",JLPT N2
競馬,けいば,horse racing,JLPT N2
警備,けいび,"defense, guard, policing, security",JLPT N2
形容詞,けいようし,adjective,JLPT N2
形容動詞,けいようどうし,"adjectival noun, quasi-adjective",JLPT N2
外科,げか,surgical department,JLPT N2
毛皮,けがわ,"fur, skin, pelt",JLPT N2
激増,げきぞう,sudden increase,JLPT N2
下車,げしゃ,"alighting, getting off",JLPT N2
下旬,げじゅん,month (last third of),JLPT N2
下水,げすい,"drainage, sewage, ditch, gutter, sewerage",JLPT N2
削る,けずる,"to cut down little by little, to take a percentage",JLPT N2
桁,けた,"column, beam, digit",JLPT N2
下駄,げた,"(Japanese footwear), wooden clogs",JLPT N2
血圧,けつあつ,blood pressure,JLPT N2
月給,げっきゅう,monthly salary,JLPT N2
傑作,けっさく,"masterpiece, best work",JLPT N2
月末,げつまつ,end of the month,JLPT N2
気配,けはい,"indication, sign, hint",JLPT N2
下品,げひん,"vulgar, indecent, coarse",JLPT N2
煙い,けむい,smoky,JLPT N2
険しい,けわしい,"steep, rugged; severe",JLPT N2
～圏,～けん,"bloc, sphere, area",JLPT N2
現～,げん～,"present, incumbent",JLPT N2
見学,けんがく,"tour, study by observation",JLPT N2
謙虚,けんきょ,"modesty, humble",JLPT N2
原稿,げんこう,"manuscript, copy",JLPT N2
原産,げんさん,place of origin,JLPT N2
原始,げんし,"origin, primeval",JLPT N2
研修,けんしゅう,training,JLPT N2
厳重,げんじゅう,"strict, severe, firm",JLPT N2
謙遜,けんそん,"humble, humility, modesty",JLPT N2
県庁,けんちょう,prefectural office,JLPT N2
限度,げんど,"limit, bounds",JLPT N2
現に,げんに,"actually, really",JLPT N2
顕微鏡,けんびきょう,microscope,JLPT N2
懸命,けんめい,"eagerness, strenuous",JLPT N2
原理,げんり,"principle, theory, fundamental truth",JLPT N2
原料,げんりょう,raw materials,JLPT N2
小～,こ～,small ~,JLPT N2
恋しい,こいしい,"dear, beloved; to miss",JLPT N2
高～,こう～,high (level) ~,JLPT N2
～校,～こう,counter for school,JLPT N2
～港,～こう,~ port,JLPT N2
～号,～ごう,counter for magazine; the name of ship,JLPT N2
工員,こういん,factory worker,JLPT N2
強引,ごういん,"forcible, assertive, pushy",JLPT N2
公害,こうがい,"public nuisance, pollution",JLPT N2
高級,こうきゅう,high class; first-rate,JLPT N2
公共,こうきょう,"public, community, communal",JLPT N2
工芸,こうげい,industrial arts,JLPT N2
孝行,こうこう,filial piety,JLPT N2
交差,こうさ,cross,JLPT N2
講師,こうし,lecturer,JLPT N2
工事,こうじ,construction work,JLPT N2
公式,こうしき,"formula, formality, official",JLPT N2
口実,こうじつ,excuse,JLPT N2
こうして,こうして,"like this, with this",JLPT N2
公衆,こうしゅう,the public,JLPT N2
香水,こうすい,perfume,JLPT N2
功績,こうせき,"achievements, merit",JLPT N2
光線,こうせん,"beam, light ray",JLPT N2
高層,こうそう,"tall, high rise",JLPT N2
構造,こうぞう,"structure, construction",JLPT N2
交替,こうたい,"change, relief, alteration",JLPT N2
耕地,こうち,arable land,JLPT N2
交通機関,こうつうきかん,transportation facilities,JLPT N2
校庭,こうてい,school yard,JLPT N2
肯定,こうてい,"positive, affirmation",JLPT N2
高度,こうど,"altitude, height; advanced",JLPT N2
高等,こうとう,"high class, high grade",JLPT N2
合同,ごうどう,"combination, incorporation",JLPT N2
高等学校,こうとうがっこう,senior high school,JLPT N2
公表,こうひょう,"official announcement, proclamation",JLPT N2
鉱物,こうぶつ,mineral,JLPT N2
公務,こうむ,"official business, public business",JLPT N2
項目,こうもく,item,JLPT N2
紅葉,こうよう,fall colors (of leaves),JLPT N2
合理,ごうり,rational,JLPT N2
交流,こうりゅう,exchange; alternating current,JLPT N2
合流,ごうりゅう,"confluence, merge, join",JLPT N2
効力,こうりょく,"effect, efficacy",JLPT N2
コース,コース,course,JLPT N2
コーラス,コーラス,chorus,JLPT N2
焦がす,こがす,"to burn, to scorch",JLPT N2
～国,～こく,nation of ~,JLPT N2
国王,こくおう,king,JLPT N2
国立,こくりつ,national,JLPT N2
ご苦労様,ごくろうさま,Thank you for your had work,JLPT N2
焦げる,こげる,"to burn, to be burned",JLPT N2
凍える,こごえる,"to freeze, to be chilled, to be frozen",JLPT N2
心当たり,こころあたり,"having some knowledge of, happening to know",JLPT N2
心得る,こころえる,"to understand, to have thorough knowledge",JLPT N2
腰掛け,こしかけ,"seat, bench",JLPT N2
腰掛ける,こしかける,to sit (down),JLPT N2
五十音,ごじゅうおん,the Japanese syllabary,JLPT N2
こしらえる,こしらえる,"to make, to manufacture",JLPT N2
擦る,こする,"to rub, to chafe, to file, to frost (glass), to strike (match)",JLPT N2
個体,こたい,an individual,JLPT N2
ごちそうさま,ごちそうさま,Thank you for the meal,JLPT N2
こちらこそ,こちらこそ,it is I who should say so,JLPT N2
小遣い,こづかい,"pocket money, allowance",JLPT N2
コック,コック,"cook; tap, cock",JLPT N2
こっそり,こっそり,"stealthily, secretly",JLPT N2
古典,こてん,"classics, classic",JLPT N2
～毎,～ごと,"every ~, each ~",JLPT N2
〜 (まる) ごと,〜 (まる) ごと,"whole ~, all of ~",JLPT N2
言付ける,ことづける,to leave a message,JLPT N2
言葉遣い,ことばづかい,"speech, expression, wording",JLPT N2
こないだ,こないだ,"the other day, lately, recently",JLPT N2
御無沙汰,ごぶさた,not writing or contacting for a while,JLPT N2
ゴム,ゴム,"gum, rubber",JLPT N2
御免,ごめん,"declining (something); pardon, sorry",JLPT N2
ごめんください,ごめんください,"May I come in, Is anyone here",JLPT N2
小指,こゆび,little finger,JLPT N2
堪える,こらえる,"to bear, to endure, to put up with",JLPT N2
娯楽,ごらく,"pleasure, amusement, recreation",JLPT N2
御覧,ごらん,"(hon.) look, inspection, try",JLPT N2
コレクション,コレクション,collection; correction,JLPT N2
転がす,ころがす,to roll,JLPT N2
転がる,ころがる,"to roll, to tumble",JLPT N2
紺,こん,"navy blue, deep blue",JLPT N2
今～,こん～,"this, current",JLPT N2
コンクール,コンクール,contest (FRE: concours),JLPT N2
コンクリート,コンクリート,concrete,JLPT N2
混合,こんごう,"mixing, mixture",JLPT N2
コンセント,コンセント,consent; power outlet,JLPT N2
献立,こんだて,menu,JLPT N2
こんばんは,こんばんは,good evening,JLPT N2
サークル,サークル,"circle, sports club (e.g., at a company)",JLPT N2
再～,さい～,re ~,JLPT N2
最～,さい～,the most ~,JLPT N2
在学,ざいがく,(enrolled) in school,JLPT N2
再三,さいさん,"again and again, repeatedly",JLPT N2
祭日,さいじつ,"national holiday, festival day",JLPT N2
催促,さいそく,"demand, urge (action), press for",JLPT N2
採点,さいてん,"marking, grading",JLPT N2
災難,さいなん,"calamity, misfortune",JLPT N2
裁縫,さいほう,sewing,JLPT N2
材木,ざいもく,"lumber, timber",JLPT N2
サイレン,サイレン,siren,JLPT N2
逆さ,さかさ,"reverse, upside down",JLPT N2
逆様,さかさま,"reverse, upside down",JLPT N2
捜す,さがす,"to search, to seek, to look for",JLPT N2
遡る,さかのぼる,"to go back, to date back; ascend",JLPT N2
酒場,さかば,"bar, bar-room",JLPT N2
一昨昨日,さきおととい,"two days before yesterday, three days ago",JLPT N2
先程,さきほど,a little while ago,JLPT N2
索引,さくいん,"index, indices",JLPT N2
作者,さくしゃ,"author, artist",JLPT N2
削除,さくじょ,"elimination, deletion",JLPT N2
作成,さくせい,"creation, preparation, to make",JLPT N2
作製,さくせい,"manufacture, production",JLPT N2
探る,さぐる,"to search, to look for, investigate",JLPT N2
囁く,ささやく,"to whisper, to murmur",JLPT N2
匙,さじ,spoon,JLPT N2
座敷,ざしき,tatami room,JLPT N2
差し支え,さしつかえ,"hindrance, impediment",JLPT N2
差し引き,さしひき,"deduction, balance",JLPT N2
刺身,さしみ,sliced raw fish,JLPT N2
(かさを～) さす,(かさを～) さす,to open; hold (an umbrella),JLPT N2
流石,さすが,"indeed, truly, as one would expect",JLPT N2
撮影,さつえい,photographing,JLPT N2
雑音,ざつおん,"noise (jarring, grating)",JLPT N2
さっさと,さっさと,quickly,JLPT N2
早速,さっそく,"at once, immediately, promptly",JLPT N2
錆,さび,rust (color),JLPT N2
錆びる,さびる,"to rust, to become rusty",JLPT N2
座布団,ざぶとん,cushion (Japanese),JLPT N2
妨げる,さまたげる,"to disturb, to prevent",JLPT N2
さようなら,さようなら,good-bye,JLPT N2
サラリーマン,サラリーマン,salaryman; company employee,JLPT N2
騒がしい,さわがしい,noisy,JLPT N2
さわやか,さわやか,"fresh, refreshing",JLPT N2
～山,～さん,the name of mountain,JLPT N2
～産,～さん,made in ~,JLPT N2
三角,さんかく,"triangle, triangular",JLPT N2
算数,さんすう,arithmetic,JLPT N2
産地,さんち,producing area,JLPT N2
サンプル,サンプル,sample,JLPT N2
山林,さんりん,mountain forest,JLPT N2
～史,～し,history of ~,JLPT N2
～紙,～し,"newspaper, type of paper",JLPT N2
～寺,～じ,the name of temple,JLPT N2
仕上がる,しあがる,to be finished,JLPT N2
明明後日,しあさって,two days after tomorrow,JLPT N2
シーズン,シーズン,season (sporting),JLPT N2
シーツ,シーツ,sheet,JLPT N2
寺院,じいん,temple,JLPT N2
しいんと (する),しいんと (する),"silent (as the grave), (deathly) quiet",JLPT N2
自衛,じえい,self-defense,JLPT N2
塩辛い,しおからい,salty (taste),JLPT N2
司会,しかい,"host, chairperson",JLPT N2
四角い,しかくい,square,JLPT N2
仕方がない,しかたがない,"it can't be helped, it's inevitable",JLPT N2
～時間目,～じかんめ,"~th hour, ~th period",JLPT N2
時間割,じかんわり,"timetable, schedule",JLPT N2
〜(日本) 式,～(にほん) しき,"custom,",JLPT N2
敷地,しきち,site,JLPT N2
敷く,しく,"to spread out, to lay out",JLPT N2
茂る,しげる,to grow thick,JLPT N2
持参,じさん,"bringing, taking, carrying",JLPT N2
磁石,じしゃく,magnet,JLPT N2
四捨五入,ししゃごにゅう,rounding up (fractions),JLPT N2
始終,しじゅう,"continuously, always, constantly",JLPT N2
自習,じしゅう,self-study,JLPT N2
静まる,しずまる,"to quieten down, to calm down",JLPT N2
姿勢,しせい,attitude; posture,JLPT N2
自然科学,しぜんかがく,natural science,JLPT N2
時速,じそく,speed (per hour),JLPT N2
子孫,しそん,"descendant, offspring",JLPT N2
死体,したい,corpse,JLPT N2
下書き,したがき,"rough copy, draft",JLPT N2
自宅,じたく,one's own home (same as 自分の家 (じぶんのいえ)),JLPT N2
下町,したまち,old parts of town,JLPT N2
自治,じち,"self-government, autonomy",JLPT N2
室～,しつ～,room,JLPT N2
～室,～しつ,counter for room,JLPT N2
～日,～じつ,day,JLPT N2
実感,じっかん,"feelings, realization",JLPT N2
湿気,しっき,"moisture, humidity, dampness",JLPT N2
しつこい,しつこい,"insistent, obstinate",JLPT N2
実習,じっしゅう,"practice, training",JLPT N2
実績,じっせき,"achievements, actual results",JLPT N2
執筆,しっぴつ,writing,JLPT N2
実物,じつぶつ,an actual thing,JLPT N2
しっぽ,しっぽ,tail (animal),JLPT N2
実用,じつよう,"practical use, utility",JLPT N2
しつれいしました (かん),しつれいしました (かん),"Excuse me., I'm sorry.",JLPT N2
実例,じつれい,"example, instance",JLPT N2
失恋,しつれん,"broken heart, unrequited love",JLPT N2
指定,してい,"designation, specification, assignment",JLPT N2
私鉄,してつ,private railway,JLPT N2
縛る,しばる,"to tie, to bind",JLPT N2
地盤,じばん,(the) ground,JLPT N2
しびれる,しびれる,to become numb,JLPT N2
紙幣,しへい,"paper money, notes, bills",JLPT N2
しぼむ,しぼむ,"to wither, to shrivel",JLPT N2
絞る,しぼる,"to press, to wring, to squeeze",JLPT N2
縞,しま,stripe,JLPT N2
～おしまい (おわり),～おしまい (おわり),end up ~,JLPT N2
しみじみ,しみじみ,"keenly, deeply, heartily",JLPT N2
氏名,しめい,full name,JLPT N2
締切,しめきり,deadline,JLPT N2
締め切る,しめきる,"to close, cancel",JLPT N2
しめた (かん),しめた (かん),"I've got it, all right, fine",JLPT N2
地面,じめん,"ground, earth's surface",JLPT N2
～車,～しゃ,~ car,JLPT N2
～者,～しゃ,person,JLPT N2
～社,～しゃ,counter for company,JLPT N2
ジャーナリスト,ジャーナリスト,journalist,JLPT N2
社会科学,しゃかいかがく,social science,JLPT N2
しゃがむ,しゃがむ,to squat,JLPT N2
蛇口,じゃぐち,"faucet, tap",JLPT N2
弱点,じゃくてん,"weak point, weakness",JLPT N2
車庫,しゃこ,"garage, car shed",JLPT N2
車掌,しゃしょう,(train) conductor,JLPT N2
写生,しゃせい,"sketching, drawing from nature",JLPT N2
社説,しゃせつ,editorial,JLPT N2
しゃっくり,しゃっくり,"hiccough, hiccup",JLPT N2
シャッター,シャッター,shutter,JLPT N2
しゃぶる,しゃぶる,"to suck, to chew",JLPT N2
車輪,しゃりん,(car) wheel,JLPT N2
洒落,しゃれ,"joke, pun, witticism",JLPT N2
じゃんけん,じゃんけん,rock-scissors-paper game,JLPT N2
～手,～しゅ,"~ player, person who does ~",JLPT N2
～酒,～しゅ,kind of alcohol,JLPT N2
～集,～しゅう,collection of ~,JLPT N2
重～,じゅう～,heavy ~,JLPT N2
集会,しゅうかい,"meeting, assembly",JLPT N2
集金,しゅうきん,money collection,JLPT N2
集合,しゅうごう,"gathering, assembly",JLPT N2
習字,しゅうじ,penmanship,JLPT N2
修繕,しゅうぜん,"repair, mending",JLPT N2
じゅうたん (カーペット),じゅうたん (カーペット),carpet,JLPT N2
終点,しゅうてん,"terminus, last stop (e.g train)",JLPT N2
重点,じゅうてん,"important point, lay stress on, emphasis",JLPT N2
リズム,リズム,rhythm,JLPT N2
リットル,リットル,liter,JLPT N2
リボン,リボン,ribbon,JLPT N2
略す,りゃくす,to abbreviate,JLPT N2
～流,～りゅう,"fashion, manner, way",JLPT N2
流域,りゅういき,(river) basin,JLPT N2
両～,りょう～,both ~,JLPT N2
～料,～りょう,"fare, charge",JLPT N2
～領,～りょう,territory,JLPT N2
両側,りょうがわ,both sides,JLPT N2
漁師,りょうし,fisherman,JLPT N2
領事,りょうじ,consul,JLPT N2
領収,りょうしゅう,"receipt, voucher",JLPT N2
～力,～りょく,power of ~,JLPT N2
臨時,りんじ,"temporary, special, extraordinary",JLPT N2
留守番,るすばん,"care-taking, caretaker, house-watching",JLPT N2
零点,れいてん,"zero, no marks",JLPT N2
冷凍,れいとう,"freezing, cold storage, refrigeration",JLPT N2
レインコート,レインコート,raincoat,JLPT N2
レクリェーション,レクリェーション,recreation,JLPT N2
レジャー,レジャー,leisure,JLPT N2
列島,れっとう,chain of islands,JLPT N2
リポート,リポート,"report, paper",JLPT N2
煉瓦,れんが,brick,JLPT N2
連合,れんごう,"union, alliance",JLPT N2
レンズ,レンズ,lens,JLPT N2
ろうそく,ろうそく,candle,JLPT N2
ローマ字,ローマじ,"romanization, Roman letters (alphabet)",JLPT N2
録音,ろくおん,(audio) recording,JLPT N2
ロッカー,ロッカー,locker,JLPT N2
ロビー,ロビー,lobby,JLPT N2
～論,～ろん,theory,JLPT N2
論ずる,ろんずる,"to argue, to discuss",JLPT N2
和～,わ～,Japanese style,JLPT N2
～羽,～わ,counter for rabbits; birds,JLPT N2
和英,わえい,Japanese-English,JLPT N2
我～,わが～,our ~,JLPT N2
若々しい,わかわかしい,"youthful, young",JLPT N2
詫びる,わびる,to apologize,JLPT N2
和服,わふく,Japanese clothes,JLPT N2
割合に,わりあいに,"relatively, comparatively",JLPT N2
割算,わりざん,division (math),JLPT N2
割と,わりと,"relatively, comparatively",JLPT N2
割引,わりびき,discount,JLPT N2
ワンピース,ワンピース,one-piece dress,JLPT N2
アイデア; アイディア,アイデア; アイディア,idea,JLPT N2
あいまい,あいまい,"vague, ambiguous",JLPT N2
扇ぐ,あおぐ,"to fan, to flap",JLPT N2
青白い,あおじろい,pale,JLPT N2
呆れる,あきれる,"to be shocked, to be appalled",JLPT N2
アクセント,アクセント,accent,JLPT N2
あくび,あくび,yawn,JLPT N2
飽くまで,あくまで,"to the end, to the last, stubbornly",JLPT N2
明くる～,あくる～,"next, following",JLPT N2
明け方,あけがた,dawn,JLPT N2
憧れる,あこがれる,"to long for, to yearn after",JLPT N2
朝寝坊,あさねぼう,"oversleeping, late riser",JLPT N2
足跡,あしあと,footprint,JLPT N2
足元,あしもと,at one's feet,JLPT N2
味わう,あじわう,"to taste, to savor",JLPT N2
あちらこちら,あちらこちら,here and there,JLPT N2
厚かましい,あつかましい,"impudent, shameless,",JLPT N2
圧縮,あっしゅく,"compression, condensation, pressure",JLPT N2
宛名,あてな,"address, direction",JLPT N2
当てはまる,あてはまる,"to be applicable, to come under (a category)",JLPT N2
当てはめる,あてはめる,"to apply, to adapt",JLPT N2
暴れる,あばれる,"to act violently, to rage",JLPT N2
あぶる,あぶる,"to scorch, to roast",JLPT N2
あふれる,あふれる,"to flood, to overflow",JLPT N2
雨戸,あまど,sliding storm door,JLPT N2
甘やかす,あまやかす,"to pamper, to spoil",JLPT N2
余る,あまる,"to be left over, to be in excess",JLPT N2
編み物,あみもの,knitting,JLPT N2
編む,あむ,to knit,JLPT N2
危うい,あやうい,"dangerous, critical",JLPT N2
怪しい,あやしい,"suspicious, dubious, doubtful",JLPT N2
荒い,あらい,"rough, rude, wild",JLPT N2
粗い,あらい,"coarse, rough",JLPT N2
粗筋,あらすじ,"outline, synopsis",JLPT N2
改めて,あらためて,"another time, again",JLPT N2
改める,あらためる,"to change, to reform, to revise",JLPT N2
有難い,ありがたい,"grateful, thankful, appreciated",JLPT N2
あれこれ,あれこれ,"one thing or another, this and that",JLPT N2
荒れる,あれる,"to be stormy, to be rough, to be ruined",JLPT N2
慌ただしい,あわただしい,"busy, hurried",JLPT N2
安易,あんい,easy-going,JLPT N2
アンテナ,アンテナ,antenna,JLPT N2
～位,～い,~th place,JLPT N2
言い出す,いいだす,"to start talking, to suggest",JLPT N2
言い付ける,いいつける,"to tell, to order",JLPT N2
意義,いぎ,"meaning, significance",JLPT N2
生き生き,いきいき,"vividly, lively",JLPT N2
いきなり,いきなり,all of a sudden,JLPT N2
幾～,いく～,several ~,JLPT N2
育児,いくじ,"childcare, nursing",JLPT N2
幾分,いくぶん,somewhat,JLPT N2
生け花,いけばな,flower arrangement,JLPT N2
以後,いご,after this; from now on; hereafter,JLPT N2
以降,いこう,"on and after, hereafter",JLPT N2
イコール,イコール,equal,JLPT N2
勇ましい,いさましい,"brave, valiant",JLPT N2
衣食住,いしょくじゅう,"food, clothing and shelter",JLPT N2
～いち (にほんいち),～いち (にほんいち),No. 1 ~ (in),JLPT N2
いちいち,いちいち,"one by one, separately",JLPT N2
一応,いちおう,"tentatively, for the time being",JLPT N2
一段と,いちだんと,"by far, greater",JLPT N2
一流,いちりゅう,"first class, leading",JLPT N2
一昨日,いっさくじつ,day before yesterday,JLPT N2
一昨年,いっさくねん,year before last,JLPT N2
一斉,いっせい,"simultaneous, all at once",JLPT N2
一旦,いったん,"once, for a moment",JLPT N2
一定,いってい,"fixed, settled, regular",JLPT N2
行っていらっしゃい,いっていらっしゃい,"have a nice day, see you",JLPT N2
行ってらっしゃい,いってらっしゃい,"have a nice day, see you",JLPT N2
いってまいります,いってまいります,"(Lit.) I'll go and come back, 'I'm going, see you later'",JLPT N2
いってきます,いってきます,"(Lit.) I'll go and come back, 'I'm going, see you later'",JLPT N2
移転,いてん,"moving, transfer",JLPT N2
井戸,いど,water well,JLPT N2
緯度,いど,latitude (navigation),JLPT N2
威張る,いばる,"to be proud, to swagger",JLPT N2
嫌がる,いやがる,"reluctant, to dislike",JLPT N2
いよいよ,いよいよ,"more and more, increasingly, at last",JLPT N2
煎る,いる,to roast,JLPT N2
炒る,いる,"to parch, to roast",JLPT N2
入れ物,いれもの,"container, case",JLPT N2
インキ,インキ,ink,JLPT N2
引力,いんりょく,gravity,JLPT N2
ウーマン,ウーマン,woman,JLPT N2
ウール,ウール,wool,JLPT N2
ウエートレス,ウエートレス,waitress,JLPT N2
植木,うえき,"garden shrubs, trees, potted plant",JLPT N2
飢える,うえる,to starve,JLPT N2
浮ぶ,うかぶ,"to float, to rise to surface, to come to mind",JLPT N2
浮かべる,うかべる,to float; to express,JLPT N2
浮く,うく,to float,JLPT N2
承る,うけたまわる,"(humble) to hear, to be told, to know",JLPT N2
受取,うけとり,receipt,JLPT N2
受け持つ,うけもつ,to take (be in) charge of,JLPT N2
薄暗い,うすぐらい,"dim, gloomy",JLPT N2
薄める,うすめる,"to dilute, to water down",JLPT N2
打合せ,うちあわせ,"business meeting, previous arrangement",JLPT N2
打ち消す,うちけす,"to deny, to negate",JLPT N2
うどん,うどん,udon noodles (Japanese traditional noodles),JLPT N2
うなずく,うなずく,to nod,JLPT N2
敬う,うやまう,"to show respect, to honor",JLPT N2
裏返す,うらがえす,"to turn inside out, to turn (something) over",JLPT N2
裏口,うらぐち,"backdoor, rear entrance",JLPT N2
占う,うらなう,"to predict, to divine",JLPT N2
恨み,うらみ,resentment,JLPT N2
恨む,うらむ,"to curse, to feel bitter",JLPT N2
羨む,うらやむ,to envy,JLPT N2
売上,うりあげ,"amount sold, proceeds",JLPT N2
売り切れ,うりきれ,sold-out,JLPT N2
売り切れる,うりきれる,to be sold out,JLPT N2
売行き,うれゆき,sales,JLPT N2
うろうろ,うろうろ,"loitering, aimless wandering",JLPT N2
上～,うわ～,upper ~,JLPT N2
運河,うんが,"canal, waterway",JLPT N2
うんと,うんと,"a great deal, very much",JLPT N2
英文,えいぶん,sentence in English,JLPT N2
英和,えいわ,"English-Japanese (e.g., dictionary)",JLPT N2
ええと,ええと,"let me see, well, er...",JLPT N2
液体,えきたい,"liquid, fluid",JLPT N2
エチケット,エチケット,etiquette,JLPT N2
絵の具,えのぐ,"colors, paints",JLPT N2
エプロン,エプロン,apron,JLPT N2
偉い,えらい,"great, celebrated, remarkable,",JLPT N2
～園,～えん,~ garden (especially man made),JLPT N2
宴会,えんかい,"party, banquet",JLPT N2
園芸,えんげい,"horticulture, gardening",JLPT N2
演劇,えんげき,play (theatrical),JLPT N2
円周,えんしゅう,circumference,JLPT N2
遠足,えんそく,"trip, hike, picnic",JLPT N2
延長,えんちょう,"extension, prolongation",JLPT N2
煙突,えんとつ,chimney,JLPT N2
御～,おん～,honorific ~,JLPT N2
追いかける,おいかける,to chase or run after someone,JLPT N2
追い越す,おいこす,"to pass (e.g., car), to outdistance, to outstrip",JLPT N2
オイル,オイル,oil,JLPT N2
王女,おうじょ,princess,JLPT N2
応ずる,おうずる,"to respond, to comply with",JLPT N2
応接,おうせつ,reception,JLPT N2
応対,おうたい,"receiving, dealing with",JLPT N2
往復,おうふく,"(col) round trip, coming and going, return ticket",JLPT N2
欧米,おうべい,"Europe and America, the West",JLPT N2
応用,おうよう,"application, put to practical use",JLPT N2
電波,でんぱ,electro-magnetic wave,JLPT N2
テンポ,テンポ,tempo,JLPT N2
電流,でんりゅう,electric current,JLPT N2
電力,でんりょく,electric power,JLPT N2
問い合わせ,といあわせ,inquiry,JLPT N2
～頭,～とう,counter for animals,JLPT N2
～等,～とう,"level, place",JLPT N2
～島,～とう,kind of islands,JLPT N2
銅,どう,copper,JLPT N2
同～,どう～,same ~,JLPT N2
～道,～どう,"kind of path, road",JLPT N2
どういたしまして (かん),どういたしまして (かん),"you are welcome, don't mention it",JLPT N2
統一,とういつ,"unity, consolidation, uniformity",JLPT N2
同格,どうかく,"the same rank, equality, apposition",JLPT N2
峠,とうげ,"ridge, (mountain) pass, difficult part",JLPT N2
統計,とうけい,"scattering, a scatter, dispersion",JLPT N2
動作,どうさ,"action, movements, motions",JLPT N2
東西,とうざい,"East and West, whole country",JLPT N2
当日,とうじつ,"appointed day, very day",JLPT N2
投書,とうしょ,"letter to the editor, letter from a reader, contribution",JLPT N2
登場,とうじょう,entry (on stage),JLPT N2
どうせ,どうせ,"anyhow, in any case, at any rate",JLPT N2
灯台,とうだい,lighthouse,JLPT N2
盗難,とうなん,"theft, robbery",JLPT N2
当番,とうばん,being on duty,JLPT N2
等分,とうぶん,division into equal parts,JLPT N2
透明,とうめい,"transparency, cleanness",JLPT N2
灯油,とうゆ,"lamp oil, kerosene",JLPT N2
童話,どうわ,fairy tale,JLPT N2
～通り,～とおり,"in accordance with ~; following ~; ~ street, ~ avenue",JLPT N2
通り掛かる,とおりかかる,to happen to pass by,JLPT N2
溶かす,とかす,"to melt, to dissolve",JLPT N2
尖る,とがる,"to taper to a point, to become sharp",JLPT N2
どきどき,どきどき,"throb, beat (fast)",JLPT N2
特殊,とくしゅ,"special, unique",JLPT N2
特色,とくしょく,"characteristic, feature",JLPT N2
特定,とくてい,"specific, special, particular",JLPT N2
特売,とくばい,special sale,JLPT N2
溶け込む,とけこむ,to melt into; to become a part of,JLPT N2
退ける,どける,"to dislodge, to put something out of the way",JLPT N2
床の間,とこのま,alcove,JLPT N2
～ところ,～ところ,about to do ~,JLPT N2
所々,ところどころ,"here and there, some parts (of something)",JLPT N2
都心,としん,heart (of city),JLPT N2
戸棚,とだな,"cupboard, cabinet",JLPT N2
とっくに,とっくに,"long ago, already, a long time ago",JLPT N2
どっと,どっと,suddenly,JLPT N2
整う,ととのう,"to be prepared, to be in order, to be arranged",JLPT N2
留まる,とどまる,"to be fixed; to abide, to stay (in the one place)",JLPT N2
怒鳴る,どなる,"to shout, to yell",JLPT N2
殿,どの,Mister (mostly in addressing someone on an envelope),JLPT N2
飛び込む,とびこむ,"to jump in, to leap in, to plunge into",JLPT N2
留まる,とまる,"to be fixed; to abide, to stay (in the one place)",JLPT N2
ともかく,ともかく,"anyhow, at any rate, anyway",JLPT N2
捕える,とらえる,"to seize, to capture, to arrest",JLPT N2
取り入れる,とりいれる,"to harvest, to take in, to adopt",JLPT N2
取り消す,とりけす,to cancel,JLPT N2
取り出す,とりだす,"to take out, to pick out",JLPT N2
採る,とる,"to adopt (measure, proposal); to pick (fruit)",JLPT N2
捕る,とる,"to take, to catch (fish)",JLPT N2
丼,どんぶり,"porcelain bowl, bowl of rice with food on top",JLPT N2
～内,～ない,inside ~,JLPT N2
内科,ないか,"internist clinic, internal medicine",JLPT N2
内線,ないせん,phone extension,JLPT N2
ナイロン,ナイロン,nylon,JLPT N2
長～,なが～,long ~,JLPT N2
仲直り,なかなおり,"reconciliation, make peace with",JLPT N2
長引く,ながびく,"to be prolonged, to drag on",JLPT N2
中指,なかゆび,middle finger,JLPT N2
仲良し,なかよし,"intimate friend, bosom buddy",JLPT N2
慰める,なぐさめる,"to comfort, to console",JLPT N2
為す,なす,"to accomplish, to do",JLPT N2
謎謎,なぞなぞ,riddle,JLPT N2
傾らか,なだらか,"gradual, gentle",JLPT N2
懐かしい,なつかしい,"dear, desired, missed",JLPT N2
撫でる,なでる,"to brush gently, to stroke",JLPT N2
