expression,reading,meaning,tags
研究室,けんきゅうしつ,the professor's office; laboratory,JLPT N4
工場,こうじょう,factory,JLPT N4
紹介,しょうかい,an introduction,JLPT N4
けれど; けれども,けれど; けれども,"but, although",JLPT N4
舟,ふね,"ship, boat",JLPT N4
動く,うごく,to move,JLPT N4
～(に) ついて,～(に) ついて,"about, concerning",JLPT N4
コンサート,コンサート,concert,JLPT N4
虫,むし,insect,JLPT N4
優しい,やさしい,"kind (person), gentle (person), easy (problem)",JLPT N4
コンピュータ; コンピューター,コンピュータ; コンピューター,computer,JLPT N4
植える,うえる,to plant,JLPT N4
両方,りょうほう,"both sides, both parties",JLPT N4
汚れる,よごれる,to become dirty,JLPT N4
水泳,すいえい,swimming,JLPT N4
経験,けいけんする,experience,JLPT N4
勝つ,かつ,to win,JLPT N4
砂,すな,sand,JLPT N4
警察,けいさつ,police; police station,JLPT N4
取り替える,とりかえる,"to exchange, to replace",JLPT N4
急ぐ,いそぐ,"to hurry, to be in a hurry, to rush",JLPT N4
簡単,かんたん,simple,JLPT N4
参る,まいる,humble expression for 行く and 来る,JLPT N4
全然,ぜんぜん,"not at all; wholly, entirely",JLPT N4
特別,とくべつ,special,JLPT N4
復習,ふくしゅう,"review (of lessons), revision",JLPT N4
間に合う,まにあう,to be in time for,JLPT N4
役に立つ,やくにたつ,"to be helpful, to be useful",JLPT N4
もうすぐ,もうすぐ,very soon; in a few moments; days,JLPT N4
真中,まんなか,"middle, center",JLPT N4
戻る,もどる,to return (v.i.); to come back,JLPT N4
研究,けんきゅう,"study, research, investigation",JLPT N4
ケーキ,ケーキ,cake,JLPT N4
草,くさ,grass,JLPT N4
込む,こむ,to be crowded,JLPT N4
この頃,このごろ,"these days, nowadays",JLPT N4
訪ねる,たずねる,to visit,JLPT N4
下げる,さげる,to lower (v.t.); to hang,JLPT N4
花見,はなみ,cherry-blossom viewing,JLPT N4
途中,とちゅう,"on the way, midway",JLPT N4
入院,にゅういんする,hospitalization,JLPT N4
乗り換える,のりかえる,"to transfer (trains), to change (bus, train, etc.)",JLPT N4
別れる,わかれる,"to part from, to separate",JLPT N4
～町,～ちょう,the town of ~,JLPT N4
安全,あんぜん,"safety, security",JLPT N4
看護婦,かんごふ,(female) nurse,JLPT N4
見物,けんぶつ,sightseeing,JLPT N4
相談,そうだんする,consultation,JLPT N4
ガソリンスタンド,ガソリンスタンド,"gas station, service station",JLPT N4
テニス,テニス,tennis,JLPT N4
眠る,ねむる,to sleep,JLPT N4
上がる,あがる,"to rise, to go up",JLPT N4
翻訳,ほんやく,translation,JLPT N4
食事,しょくじする,meal,JLPT N4
おかげ,お陰,thanks or owing to,JLPT N4
娘,むすめ,daughter (humble),JLPT N4
湯,ゆ,hot water,JLPT N4
競争,きょうそう,"competition, contest",JLPT N4
会議,かいぎ,business meeting; conference,JLPT N4
湖,みずうみ,lake,JLPT N4
集まる,あつまる,"to gather (v.i.), to collect",JLPT N4
～にくい,～にくい,difficult to do ~,JLPT N4
生活,せいかつする,"living, life; to live",JLPT N4
糸,いと,thread,JLPT N4
関係,かんけい,"relation(ship), connection",JLPT N4
ピアノ,ピアノ,piano,JLPT N4
～目,～め,"number ~ sequence, ~nd; ~th",JLPT N4
番組,ばんぐみ,broadcast program,JLPT N4
急,きゅう,"urgent, sudden; steep",JLPT N4
棚,たな,"shelves, rack",JLPT N4
木綿,もめん,cotton,JLPT N4
輸出,ゆしゅつする,export,JLPT N4
タイプ,タイプ,"type, style",JLPT N4
すり,すり,pickpocket,JLPT N4
うれしい,嬉しい,to be happy; to be glad,JLPT N4
アルコール,アルコール,alcohol,JLPT N4
ソフト,ソフト,soft; soft hat; software,JLPT N4
神社,じんじゃ,Shinto shrine,JLPT N4
大分,だいぶ,"fairly well, to a large extent, considerably, pretty much",JLPT N4
楽しみ,たのしみ,"pleasure, joy",JLPT N4
趣味,しゅみ,hobby; pastime,JLPT N4
電報,でんぽう,telegram,JLPT N4
家内,かない,(one's own) wife,JLPT N4
指,ゆび,finger,JLPT N4
これから,これから,"from now on, after this",JLPT N4
たまに,たまに,occasionally,JLPT N4
社会,しゃかい,society,JLPT N4
