expression,reading,meaning,tags
漢字,かんじ,kanji; Chinese character,JLPT N5
木,き,"tree, wood, timber",JLPT N5
黄色,きいろ,yellow,JLPT N5
黄色い,きいろい,yellow,JLPT N5
消える,きえる,"to vanish, to disappear",JLPT N5
聞く,きく,"to hear, to listen, to ask",JLPT N5
北,きた,north,JLPT N5
ギター,ギター,guitar,JLPT N5
汚い,きたない,"dirty, unclean, filthy",JLPT N5
喫茶店,きっさてん,café,JLPT N5
切手,きって,postal (postage) stamps,JLPT N5
切符,きっぷ,a ticket,JLPT N5
昨日,きのう,yesterday,JLPT N5
九,きゅう,nine,JLPT N5
牛肉,ぎゅうにく,beef,JLPT N5
牛乳,ぎゅうにゅう,milk,JLPT N5
今日,きょう,"today, this day",JLPT N5
教室,きょうしつ,classroom,JLPT N5
兄弟,きょうだい,"siblings (humble), brothers and sisters",JLPT N5
去年,きょねん,last year,JLPT N5
嫌い,きらい,dislike,JLPT N5
切る,きる,to cut; to hang up (a phone),JLPT N5
着る,きる,to put on (clothes above your waist); to wear,JLPT N5
綺麗,きれい,"pretty, clean, tidy",JLPT N5
キロ; キログラム,キロ; キログラム,(abbr.) kilo (kilogram),JLPT N5
キロ; キロメートル,キロ; キロメートル,(abbr.) kilo (kilometer),JLPT N5
銀行,ぎんこう,bank,JLPT N5
金曜日,きんようび,Friday,JLPT N5
九,く,nine,JLPT N5
薬,くすり,medicine,JLPT N5
下さい,ください,(with te-form verb) please do for me,JLPT N5
果物,くだもの,fruit,JLPT N5
口,くち,job opening; mouth,JLPT N5
靴,くつ,"shoes, footwear",JLPT N5
靴下,くつした,socks,JLPT N5
国,くに,country; place of origin,JLPT N5
曇り,くもり,"cloudiness, cloudy weather",JLPT N5
曇る,くもる,"to become cloudy, to become dim",JLPT N5
暗い,くらい,"dark, gloomy",JLPT N5
～くらい; ぐらい,～くらい; ぐらい,approximate (quantity),JLPT N5
クラス,クラス,a class,JLPT N5
グラム,グラム,gram,JLPT N5
来る,くる,to come,JLPT N5
車,くるま,"car, vehicle",JLPT N5
黒,くろ,black,JLPT N5
黒い,くろい,black; dark,JLPT N5
警官,けいかん,police officer,JLPT N5
今朝,けさ,this morning,JLPT N5
消す,けす,"to erase, to delete, to turn off power",JLPT N5
結構,けっこう,"splendid; enough, tolerably",JLPT N5
結婚,けっこん (する),marriage (get married),JLPT N5
月曜日,げつようび,Monday,JLPT N5
玄関,げんかん,entrance (to a house or a building),JLPT N5
元気,げんき,"health(y), energetic",JLPT N5
～個,～こ,"counter for small items (e.g., fruits, cups)",JLPT N5
五,ご,five,JLPT N5
～語,～ご,"word, language",JLPT N5
公園,こうえん,a park,JLPT N5
交差点,こうさてん,intersection,JLPT N5
紅茶,こうちゃ,black tea,JLPT N5
交番,こうばん,police box,JLPT N5
声,こえ,voice,JLPT N5
コート,コート,"coat; court (e.g., tennis)",JLPT N5
コーヒー,コーヒー,coffee,JLPT N5
ここ,ここ,"here, this place",JLPT N5
午後,ごご,"afternoon, P.M.",JLPT N5
九日,ここのか,nine days; ninth day of the month,JLPT N5
九つ,ここのつ,nine things,JLPT N5
午前,ごぜん,"morning, A.M.",JLPT N5
答える,こたえる,"to answer, to reply",JLPT N5
こちら,こちら,this person (polite); this way (polite),JLPT N5
こっち,こっち,this person; this direction; this side,JLPT N5
コップ,コップ,a tumbler; a glass,JLPT N5
今年,ことし,this year,JLPT N5
言葉,ことば,language; word(s); expression(s),JLPT N5
子供,こども,child(ren),JLPT N5
この,この,this,JLPT N5
御飯,ごはん,rice (cooked); meal,JLPT N5
コピーする,コピーする,to copy,JLPT N5
